category,seasonality_level,seasonality_score,peak_to_trough_ratio,inventory_strategy,risk_level,buffer_stock_recommendation,avg_monthly_revenue
health_beauty,Moderate Seasonality,0.383,3.67,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),104890.11166666665
watches_gifts,Moderate Seasonality,0.322,3.43,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),100417.14
bed_bath_table,Low Seasonality,0.295,2.55,Stable inventory with minimal adjustment,Low,High (25-30%),86415.72333333334
sports_leisure,Low Seasonality,0.249,2.24,Stable inventory with minimal adjustment,Low,High (25-30%),82337.41416666667
computers_accessories,Moderate Seasonality,0.356,3.95,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),75996.19333333333
furniture_decor,Low Seasonality,0.298,2.54,Stable inventory with minimal adjustment,Low,High (25-30%),60813.54083333333
cool_stuff,Low Seasonality,0.182,1.78,Stable inventory with minimal adjustment,Low,High (25-30%),52940.90416666667
housewares,Moderate Seasonality,0.49,4.9,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),52687.388333333336
auto,Moderate Seasonality,0.378,5.28,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),49393.3425
garden_tools,Low Seasonality,0.286,2.6,Stable inventory with minimal adjustment,Low,High (25-30%),40438.03833333334
toys,Moderate Seasonality,0.304,2.66,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),40328.88333333333
baby,Moderate Seasonality,0.335,2.97,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),34313.74083333334
perfumery,Moderate Seasonality,0.307,3.51,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),33260.40583333333
telephony,Moderate Seasonality,0.354,3.56,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),26972.294166666663
office_furniture,Moderate Seasonality,0.444,6.19,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),22830.058333333334
computers,High Seasonality,0.821,14.9,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),20269.375454545454
stationery,Moderate Seasonality,0.484,6.95,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),19245.26916666667
pet_shop,Moderate Seasonality,0.499,4.89,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),17859.6175
musical_instruments,Moderate Seasonality,0.398,4.2,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),15958.24
small_appliances,Moderate Seasonality,0.55,5.49,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),15887.381666666666
unknown,Moderate Seasonality,0.439,4.1,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),14961.273333333333
electronics,Moderate Seasonality,0.428,5.46,Moderate seasonal adjustment (20-40%),Medium,Medium (20-25%),13353.894999999999
consoles_games,Low Seasonality,0.298,2.77,Stable inventory with minimal adjustment,Low,High (25-30%),13122.101666666667
fashion_bags_accessories,Low Seasonality,0.228,2.26,Stable inventory with minimal adjustment,Low,High (25-30%),12735.295
construction_tools_construction,High Seasonality,0.636,18.69,Seasonal inventory with 40-60% adjustment,Medium-High,Medium (15-20%),12056.465833333334
